City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-11-01 00:14:32,42.6,-73.97,34.0,83,0,5.37
1,Faanui,PF,2020-11-01 00:14:42,-16.48,-151.75,79.57,73,0,19.39
2,New Norfolk,AU,2020-11-01 00:20:40,-42.78,147.06,64.0,58,21,1.01
3,Chunoyar,RU,2020-11-01 00:22:56,57.45,97.32,12.51,92,0,2.95
4,San Patricio,US,2020-11-01 00:21:13,28.02,-97.52,71.6,60,20,11.41
5,Marrakesh,MA,2020-11-01 00:21:48,31.63,-8.01,64.4,52,0,3.36
6,Busselton,AU,2020-11-01 00:17:26,-33.65,115.33,60.01,79,100,1.34
7,Rikitea,PF,2020-11-01 00:15:59,-23.12,-134.97,75.96,66,0,6.31
8,Havre-Saint-Pierre,CA,2020-11-01 00:17:48,50.23,-63.6,26.6,68,1,9.17
9,Arraial Do Cabo,BR,2020-11-01 00:17:46,-22.97,-42.03,71.11,82,92,17.96
10,Vaini,TO,2020-11-01 00:17:29,-21.2,-175.2,77.0,83,75,11.41
11,Cape Town,ZA,2020-11-01 00:17:40,-33.93,18.42,59.0,58,0,14.99
12,Ostrov,RU,2020-11-01 00:22:56,57.34,28.35,44.6,87,0,2.24
13,Atuona,PF,2020-11-01 00:17:32,-9.8,-139.03,78.4,75,10,16.35
14,Narsaq,GL,2020-11-01 00:17:33,60.92,-46.05,24.8,79,98,0.85
15,Tasiilaq,GL,2020-11-01 00:14:59,65.61,-37.64,32.0,93,100,16.11
16,Iqaluit,CA,2020-11-01 00:16:24,63.75,-68.51,6.8,84,40,6.93
17,Misratah,LY,2020-11-01 00:17:42,32.38,15.09,69.8,66,48,10.69
18,Punta Arenas,CL,2020-11-01 00:20:26,-53.15,-70.92,55.4,62,40,12.75
19,Ushuaia,AR,2020-11-01 00:17:23,-54.8,-68.3,48.2,93,75,9.17
20,Hilo,US,2020-11-01 00:17:45,19.73,-155.09,86.0,62,40,10.29
21,Comodoro Rivadavia,AR,2020-11-01 00:16:39,-45.87,-67.5,64.4,59,0,4.7
22,Flagstaff,US,2020-11-01 00:22:57,35.2,-111.65,59.0,22,1,6.93
23,Carnarvon,AU,2020-11-01 00:17:46,-24.87,113.63,71.6,68,90,17.22
24,Mersing,MY,2020-11-01 00:22:57,2.43,103.84,73.4,100,88,4.7
25,Egvekinot,RU,2020-11-01 00:14:56,66.32,-179.17,14.77,83,2,2.77
26,Bluff,NZ,2020-11-01 00:17:27,-46.6,168.33,57.0,74,96,8.01
27,East London,ZA,2020-11-01 00:20:47,-33.02,27.91,64.92,73,92,10.76
28,Mataura,NZ,2020-11-01 00:17:23,-46.19,168.86,57.0,74,50,8.01
29,Vao,NC,2020-11-01 00:18:28,-22.67,167.48,73.9,82,3,15.32
30,Makakilo City,US,2020-11-01 00:22:43,21.35,-158.09,86.0,58,75,12.75
31,Yar-Sale,RU,2020-11-01 00:18:11,66.83,70.83,25.88,97,16,10.69
32,Belaya Gora,RU,2020-11-01 00:21:36,68.53,146.42,-4.72,91,100,4.27
33,Cidreira,BR,2020-11-01 00:17:44,-30.18,-50.21,62.37,76,30,8.21
34,Baykit,RU,2020-11-01 00:20:55,61.67,96.37,0.63,89,70,3.4
35,Hobyo,SO,2020-11-01 00:17:49,5.35,48.53,80.38,79,100,4.85
36,Chumikan,RU,2020-11-01 00:18:01,54.72,135.31,32.54,96,100,29.12
37,Pasco,US,2020-11-01 00:22:58,28.29,-82.42,78.01,80,85,8.46
38,Port Alfred,ZA,2020-11-01 00:20:30,-33.59,26.89,61.34,81,52,10.63
39,Poros,GR,2020-11-01 00:22:58,37.5,23.45,63.0,56,0,1.99
40,Tuatapere,NZ,2020-11-01 00:18:11,-46.13,167.68,57.0,74,71,8.01
41,Hermanus,ZA,2020-11-01 00:17:31,-34.42,19.23,57.0,82,0,5.01
42,Esperance,AU,2020-11-01 00:17:39,-33.87,121.9,66.2,82,99,10.29
43,Ostrovnoy,RU,2020-11-01 00:20:45,68.05,39.51,27.79,95,91,18.12
44,Ponta Do Sol,PT,2020-11-01 00:20:32,32.67,-17.1,72.0,64,20,6.93
45,Hobart,AU,2020-11-01 00:17:25,-42.88,147.33,64.0,67,75,10.29
46,Inhambane,MZ,2020-11-01 00:20:29,-23.86,35.38,71.78,74,34,11.39
47,Bredasdorp,ZA,2020-11-01 00:17:27,-34.53,20.04,48.2,93,0,3.36
48,Chokurdakh,RU,2020-11-01 00:17:42,70.63,147.92,-8.9,91,85,7.85
49,Bambous Virieux,MU,2020-11-01 00:21:12,-20.34,57.76,66.2,82,40,11.41
50,Barrow,US,2020-11-01 00:17:10,71.29,-156.79,24.8,68,75,9.17
51,Mehamn,NO,2020-11-01 00:17:38,71.04,27.85,37.17,81,84,14.2
52,Castro,BR,2020-11-01 00:17:43,-24.79,-50.01,52.9,92,77,7.25
53,Chicla,PE,2020-11-01 00:17:25,-11.71,-76.27,42.8,71,100,3.4
54,Thompson,CA,2020-11-01 00:17:26,55.74,-97.86,15.8,72,75,5.82
55,Brae,GB,2020-11-01 00:18:03,60.4,-1.35,50.0,81,98,44.96
56,Kendari,ID,2020-11-01 00:18:56,-3.94,122.5,80.6,78,100,1.83
57,Coihaique,CL,2020-11-01 00:17:52,-45.58,-72.07,71.6,33,0,5.82
58,Qaanaaq,GL,2020-11-01 00:17:24,77.48,-69.36,6.35,82,49,5.77
59,Mackay,AU,2020-11-01 00:21:13,-21.15,149.2,88.0,58,0,11.41
60,Norwich,GB,2020-11-01 00:23:00,52.63,1.3,51.01,87,74,11.41
61,Alofi,NU,2020-11-01 00:19:04,-19.06,-169.92,78.8,88,54,18.34
62,Jamestown,US,2020-11-01 00:16:33,42.1,-79.24,39.99,69,1,8.05
63,Havoysund,NO,2020-11-01 00:21:26,71.0,24.66,39.2,69,34,18.34
64,Port Elizabeth,ZA,2020-11-01 00:20:40,-33.92,25.57,64.4,88,75,8.05
65,Preston,GB,2020-11-01 00:23:01,53.77,-2.72,51.01,83,88,1.99
66,Jeumont,FR,2020-11-01 00:23:01,50.3,4.1,52.0,46,100,9.33
67,Avarua,CK,2020-11-01 00:17:35,-21.21,-159.78,75.2,83,99,12.75
68,Lagoa,PT,2020-11-01 00:17:25,39.05,-27.98,68.38,93,64,24.2
69,Puerto Ayora,EC,2020-11-01 00:15:57,-0.74,-90.35,70.0,93,95,7.0
70,Coronado,US,2020-11-01 00:22:39,32.69,-117.18,75.2,49,75,5.82
71,Tuktoyaktuk,CA,2020-11-01 00:17:51,69.45,-133.04,-2.2,84,75,5.82
72,Dikson,RU,2020-11-01 00:17:49,73.51,80.55,18.36,98,100,7.0
73,Anqing,CN,2020-11-01 00:23:01,30.51,117.05,61.18,77,98,1.68
74,Myitkyina,MM,2020-11-01 00:19:51,25.38,97.4,70.07,96,96,2.57
75,Chifeng,CN,2020-11-01 00:23:02,42.27,118.96,36.99,60,0,9.04
76,Caravelas,BR,2020-11-01 00:17:41,-17.71,-39.25,72.43,96,100,4.0
77,Bonthe,SL,2020-11-01 00:22:48,7.53,-12.51,78.55,83,0,3.49
78,Mahebourg,MU,2020-11-01 00:17:47,-20.41,57.7,66.2,82,40,11.41
79,Saint-Pierre,RE,2020-11-01 00:17:28,-21.34,55.48,66.2,59,0,9.17
80,Haines Junction,CA,2020-11-01 00:21:25,60.75,-137.51,12.2,72,100,5.82
81,Butaritari,KI,2020-11-01 00:17:28,3.07,172.79,81.77,75,99,14.99
82,Bara,NG,2020-11-01 00:23:02,10.37,10.73,75.16,31,28,4.99
83,Yambio,SS,2020-11-01 00:23:02,4.57,28.4,68.07,96,96,1.16
84,Gafargaon,BD,2020-11-01 00:23:02,24.43,90.57,78.8,78,75,3.36
85,Moose Factory,CA,2020-11-01 00:23:02,51.26,-80.61,37.4,74,90,18.34
86,Flinders,AU,2020-11-01 00:16:08,-34.58,150.86,62.01,88,90,8.99
87,Vestmannaeyjar,IS,2020-11-01 00:17:51,63.44,-20.27,42.03,70,5,5.08
88,Williams Lake,CA,2020-11-01 00:21:31,52.14,-122.14,37.4,70,75,6.93
89,Trat,TH,2020-11-01 00:19:08,12.5,102.5,75.9,90,79,6.13
90,Belmonte,BR,2020-11-01 00:22:44,-15.86,-38.88,77.0,83,20,6.93
91,Ust-Nera,RU,2020-11-01 00:21:26,64.57,143.2,-5.93,81,95,4.32
92,Matara,LK,2020-11-01 00:16:40,5.95,80.54,76.46,88,47,6.11
93,Ribeira Grande,PT,2020-11-01 00:17:42,38.52,-28.7,68.99,93,67,21.03
94,Longyearbyen,SJ,2020-11-01 00:16:54,78.22,15.64,24.8,73,40,12.75
95,Fortuna,US,2020-11-01 00:13:57,40.6,-124.16,60.01,93,90,10.29
96,Codrington,AU,2020-11-01 00:17:51,-38.27,141.97,58.75,75,22,6.78
97,Cabedelo,BR,2020-11-01 00:17:40,-6.98,-34.83,78.8,83,20,8.05
98,Pevek,RU,2020-11-01 00:17:56,69.7,170.31,14.79,95,58,12.1
99,Asau,RO,2020-11-01 00:18:02,46.43,26.4,46.4,87,75,18.34
100,Saint-Philippe,RE,2020-11-01 00:17:35,-21.36,55.77,66.2,59,0,9.17
101,Itarema,BR,2020-11-01 00:17:35,-2.92,-39.92,79.34,84,88,13.11
102,Vostok,RU,2020-11-01 00:18:22,46.49,135.88,41.0,86,82,6.02
103,Nikolskoye,RU,2020-11-01 00:17:43,59.7,30.79,33.01,100,18,2.24
104,Methoni,GR,2020-11-01 00:23:04,36.82,21.7,61.0,87,0,9.46
105,Acajutla,SV,2020-11-01 00:17:06,13.59,-89.83,80.65,76,66,0.94
106,Tautira,PF,2020-11-01 00:22:35,-17.73,-149.15,84.2,62,75,10.29
107,Chippewa Falls,US,2020-11-01 00:23:04,44.94,-91.39,50.0,53,75,18.34
108,Cabo San Lucas,MX,2020-11-01 00:17:42,22.89,-109.91,82.0,69,20,5.82
109,Da Nang,VN,2020-11-01 00:23:05,16.07,108.22,78.8,83,40,5.82
110,Leningradskiy,RU,2020-11-01 00:17:29,69.38,178.42,17.02,89,53,7.67
111,Bethel,US,2020-11-01 00:16:11,41.37,-73.41,36.0,74,1,4.7
112,Saint-Louis,SN,2020-11-01 00:23:05,16.33,-15.0,78.8,47,0,6.64
113,Kapaa,US,2020-11-01 00:17:09,22.08,-159.32,82.4,69,75,6.93
114,Dossor,KZ,2020-11-01 00:23:05,47.53,52.98,46.9,60,62,11.83
115,Kushmurun,KZ,2020-11-01 00:23:05,52.45,64.63,38.46,74,97,10.42
116,Sur,OM,2020-11-01 00:17:59,22.57,59.53,68.74,56,0,1.86
117,Chuy,UY,2020-11-01 00:16:32,-33.7,-53.46,53.83,83,4,4.94
118,Bourail,NC,2020-11-01 00:20:24,-21.57,165.48,84.25,47,0,8.12
119,Airai,TL,2020-11-01 00:17:38,-8.93,125.41,72.77,41,39,2.39
120,Torbay,CA,2020-11-01 00:17:50,47.67,-52.73,34.0,85,75,20.8
121,Tiksi,RU,2020-11-01 00:17:24,71.69,128.87,0.3,92,98,6.38
122,Gizo,SB,2020-11-01 00:18:13,-8.1,156.84,85.1,67,27,3.58
123,Mporokoso,ZM,2020-11-01 00:23:06,-9.37,30.12,63.9,62,6,5.41
124,Los Llanos De Aridane,ES,2020-11-01 00:20:24,28.66,-17.92,82.4,21,0,13.87
125,Port Macquarie,AU,2020-11-01 00:18:27,-31.43,152.92,78.01,42,0,3.0
126,Lingao,CN,2020-11-01 00:18:28,19.91,109.69,73.58,81,32,9.51
127,Ruteng,ID,2020-11-01 00:18:02,-8.61,120.47,71.73,73,79,2.06
128,Gimli,CA,2020-11-01 00:22:33,50.63,-96.99,26.6,79,100,20.8
129,Lorengau,PG,2020-11-01 00:14:51,-2.02,147.27,85.39,71,37,8.97
130,Tabou,CI,2020-11-01 00:17:54,4.42,-7.35,77.77,88,95,7.11
131,Kavieng,PG,2020-11-01 00:17:36,-2.57,150.8,85.39,72,2,10.18
132,Saskylakh,RU,2020-11-01 00:16:03,71.92,114.08,-5.44,86,1,7.65
133,Saint Anthony,US,2020-11-01 00:17:05,45.02,-93.22,46.4,45,40,26.4
134,Yellowknife,CA,2020-11-01 00:17:24,62.46,-114.35,21.99,100,90,10.29
135,Dukat,RU,2020-11-01 00:23:07,62.55,155.55,15.44,96,100,5.46
136,Ilulissat,GL,2020-11-01 00:17:39,69.22,-51.1,21.2,73,100,10.29
137,Pangkalanbuun,ID,2020-11-01 00:18:09,-2.68,111.62,78.64,88,52,0.6
138,Geraldton,AU,2020-11-01 00:17:51,-28.77,114.6,62.6,88,75,17.22
139,Tubuala,PA,2020-11-01 00:23:07,9.52,-79.03,77.0,88,40,4.7
140,Markova,UA,2020-11-01 00:19:08,48.68,24.41,38.3,91,85,4.41
141,Katsuura,JP,2020-11-01 00:14:58,35.13,140.3,60.01,67,75,9.17
142,Falavarjan,IR,2020-11-01 00:23:07,32.56,51.51,33.8,37,0,4.7
143,Bereda,ES,2020-11-01 00:18:23,43.27,-7.54,63.0,88,100,15.01
144,Nhulunbuy,AU,2020-11-01 00:18:19,-12.23,136.77,86.0,62,75,12.75
145,Ontario,US,2020-11-01 00:15:04,34.06,-117.65,84.2,13,75,10.29
146,Xifeng,CN,2020-11-01 00:23:08,42.74,124.72,39.74,66,1,8.52
147,Neiafu,TO,2020-11-01 00:20:56,-18.65,-173.98,77.0,88,75,9.17
148,Sakakah,SA,2020-11-01 00:15:33,29.97,40.21,71.6,13,0,3.36
149,Rawson,AR,2020-11-01 00:16:06,-43.3,-65.1,73.17,21,1,21.7
150,Upernavik,GL,2020-11-01 00:17:31,72.79,-56.15,16.0,95,96,13.56
151,Coquimbo,CL,2020-11-01 00:17:54,-29.95,-71.34,55.4,82,75,9.17
152,Severo-Kurilsk,RU,2020-11-01 00:17:29,50.68,156.12,43.54,76,74,16.78
153,Kijang,KR,2020-11-01 00:20:57,35.24,129.21,53.6,81,0,2.24
154,Bam,IR,2020-11-01 00:16:25,29.11,58.36,54.52,37,0,4.63
155,Berlevag,NO,2020-11-01 00:18:29,70.86,29.09,37.9,81,100,17.02
156,Jingdezhen,CN,2020-11-01 00:20:31,29.29,117.21,60.4,86,100,2.57
157,Ancud,CL,2020-11-01 00:17:34,-41.87,-73.82,62.6,55,0,6.93
158,Aklavik,CA,2020-11-01 00:17:54,68.22,-135.01,-0.4,84,20,2.64
159,Kahului,US,2020-11-01 00:17:55,20.89,-156.47,89.6,43,20,11.41
160,Nemuro,JP,2020-11-01 00:16:31,43.32,145.57,51.8,76,75,5.82
161,Fayaoue,NC,2020-11-01 00:23:09,-20.65,166.53,77.13,80,17,15.59
162,Hohhot,CN,2020-11-01 00:23:09,40.81,111.65,23.0,67,0,4.47
163,Georgetown,MY,2020-11-01 00:17:27,5.41,100.34,77.0,94,40,8.05
164,Zharkent,KZ,2020-11-01 00:23:09,44.16,80.0,35.98,77,0,0.96
165,Kaitangata,NZ,2020-11-01 00:17:42,-46.28,169.85,60.01,57,81,13.0
166,General Pico,AR,2020-11-01 00:23:10,-35.66,-63.76,60.85,54,0,9.69
167,Victoria,HK,2020-11-01 00:15:04,22.29,114.16,73.99,77,86,1.01
168,Souillac,MU,2020-11-01 00:18:00,-20.52,57.52,66.2,82,40,11.41
169,Luderitz,NA,2020-11-01 00:21:36,-26.65,15.16,63.21,50,14,20.67
170,Khatanga,RU,2020-11-01 00:17:26,71.97,102.5,-5.94,87,47,8.93
171,Fort Nelson,CA,2020-11-01 00:21:21,58.81,-122.7,26.6,92,75,4.7
172,Ngunguru,NZ,2020-11-01 00:22:34,-35.62,174.5,77.0,61,47,7.0
173,Carpentras,FR,2020-11-01 00:23:10,44.08,5.17,57.2,93,90,3.27
174,Sherbakul,RU,2020-11-01 00:23:10,54.63,72.4,32.0,85,0,6.71
175,Mar Del Plata,AR,2020-11-01 00:19:57,-38.0,-57.56,60.01,71,0,5.82
176,Winona,US,2020-11-01 00:23:11,43.97,-91.77,53.01,53,74,5.01
177,Safakulevo,RU,2020-11-01 00:23:11,54.99,62.54,35.53,85,100,7.65
178,Atar,MR,2020-11-01 00:17:41,20.52,-13.05,84.16,16,23,8.5
179,Tadine,NC,2020-11-01 00:21:59,-21.55,167.88,78.73,67,54,15.35
180,Villablino,ES,2020-11-01 00:21:32,42.94,-6.32,55.99,99,94,1.01
181,Melilla,ES,2020-11-01 00:23:11,35.29,-2.94,60.8,87,40,3.36
182,Saldanha,ZA,2020-11-01 00:17:45,-33.01,17.94,57.2,62,0,6.93
183,Sistranda,NO,2020-11-01 00:21:33,63.73,8.83,50.0,57,0,32.21
184,Quebo,GW,2020-11-01 00:23:11,11.33,-14.93,75.76,82,15,1.97
185,Marsh Harbour,BS,2020-11-01 00:16:18,26.54,-77.06,79.63,83,14,19.55
186,Shahgarh,IN,2020-11-01 00:23:11,24.32,79.13,64.36,28,0,3.18
187,Batagay-Alyta,RU,2020-11-01 00:16:02,67.8,130.41,0.7,92,100,0.83
188,Manaus,BR,2020-11-01 00:23:12,-3.1,-60.02,84.2,79,20,2.24
189,Podor,MR,2020-11-01 00:23:12,16.65,-14.96,78.8,47,0,7.61
190,Ixtapa,MX,2020-11-01 00:18:29,20.7,-105.2,84.2,74,75,8.05
191,Sao Joao Da Barra,BR,2020-11-01 00:20:45,-21.64,-41.05,70.52,89,100,12.88
192,Batagay,RU,2020-11-01 00:21:17,67.63,134.63,-11.54,88,91,3.31
193,Martinsville,US,2020-11-01 00:23:12,36.69,-79.87,45.0,93,1,1.7
194,Naze,JP,2020-11-01 00:16:34,28.37,129.48,75.2,88,75,10.29
195,Marsa Matruh,EG,2020-11-01 00:19:56,31.35,27.25,70.79,69,49,7.11
196,Samarai,PG,2020-11-01 00:19:39,-10.62,150.67,82.36,78,99,8.97
197,Shahr-E Kord,IR,2020-11-01 00:23:12,32.33,50.86,33.8,29,0,4.7
198,Danane,CI,2020-11-01 00:23:12,7.26,-8.15,70.34,95,48,0.81
199,Berdigestyakh,RU,2020-11-01 00:23:12,62.1,126.7,-10.53,88,11,3.02
200,Iralaya,HN,2020-11-01 00:22:48,15.0,-83.23,80.29,85,100,12.91
201,Santa Maria,BR,2020-11-01 00:23:13,-29.68,-53.81,66.2,59,0,9.17
202,Komsomolskiy,UZ,2020-11-01 00:16:42,40.43,71.72,42.8,35,53,6.93
203,Linkuva,LT,2020-11-01 00:23:13,56.09,23.97,46.4,87,90,4.7
204,Nanortalik,GL,2020-11-01 00:17:41,60.14,-45.24,28.67,89,55,21.45
205,Koslan,RU,2020-11-01 00:20:06,63.46,48.9,30.83,97,62,6.24
206,Mayo,US,2020-11-01 00:12:42,38.89,-76.51,48.0,70,75,5.82
207,Pingliang,CN,2020-11-01 00:20:53,35.54,106.69,43.05,56,83,7.49
208,Makasar,ID,2020-11-01 00:20:50,-5.14,119.42,82.99,65,96,2.39
209,Alice Springs,AU,2020-11-01 00:20:08,-23.7,133.88,77.0,20,42,12.75
210,Leon Valley,US,2020-11-01 00:23:13,29.5,-98.62,71.6,37,1,5.82
211,Sitka,US,2020-11-01 00:17:51,57.05,-135.33,51.8,87,90,16.11
212,Dawson Creek,CA,2020-11-01 00:22:10,55.77,-120.24,41.0,56,1,25.28
213,Bitung,ID,2020-11-01 00:22:05,1.45,125.18,82.4,83,20,1.12
214,Meulaboh,ID,2020-11-01 00:18:01,4.14,96.13,78.15,81,100,4.85
215,San Antonio,US,2020-11-01 00:19:52,29.42,-98.49,71.6,35,1,3.36
216,Warkworth,NZ,2020-11-01 00:23:14,-36.4,174.67,70.0,78,37,5.01
217,Praia Da Vitoria,PT,2020-11-01 00:22:41,38.73,-27.07,71.6,88,75,15.73
218,Kodiak,US,2020-11-01 00:14:55,57.79,-152.41,37.4,40,1,14.99
219,Vila Velha,BR,2020-11-01 00:18:02,-20.33,-40.29,69.8,88,90,8.05
220,Ucluelet,CA,2020-11-01 00:13:58,48.93,-125.55,51.8,71,20,6.93
221,Fairbanks,US,2020-11-01 00:20:58,64.84,-147.72,10.0,71,90,2.08
222,Isangel,VU,2020-11-01 00:17:24,-19.55,169.27,80.31,70,92,14.54
223,Roald,NO,2020-11-01 00:21:31,62.58,6.13,57.2,50,66,14.99
224,Yerbogachen,RU,2020-11-01 00:17:37,61.28,108.01,0.25,92,0,1.68
225,Kerrville,US,2020-11-01 00:22:06,30.05,-99.14,68.0,39,1,3.36
226,Powell River,CA,2020-11-01 00:23:15,49.85,-124.54,50.0,81,75,2.24
227,Hasaki,JP,2020-11-01 00:17:33,35.73,140.83,57.0,81,40,6.93
228,Sterling,US,2020-11-01 00:18:12,39.01,-77.43,46.99,70,90,5.82
229,Ambulu,ID,2020-11-01 00:21:34,-8.35,113.61,79.59,71,96,1.72
230,Saint George,US,2020-11-01 00:18:35,37.1,-113.58,75.2,13,1,0.98
231,Husavik,IS,2020-11-01 00:16:18,66.04,-17.34,37.4,75,90,4.18
232,Leh,IN,2020-11-01 00:18:09,34.17,77.58,27.1,74,9,1.1
233,Hithadhoo,MV,2020-11-01 00:17:33,-0.6,73.08,83.88,69,100,8.95
234,Kupang,ID,2020-11-01 00:22:18,-10.17,123.58,87.44,49,63,1.59
235,Nakasongola,UG,2020-11-01 00:23:15,1.31,32.46,63.41,94,86,1.54
236,Phan Thiet,VN,2020-11-01 00:23:16,10.93,108.1,77.88,84,100,4.05
237,Alamosa,US,2020-11-01 00:21:00,37.47,-105.87,51.8,43,1,5.82
238,Vanimo,PG,2020-11-01 00:18:28,-2.67,141.3,86.18,62,64,6.15
